id,name
P13_C2,ペットフード
P13_C2,犬用品
P13_C2,猫用品
P13_C2,魚用品/水草
P13_C2,小動物用品
P13_C2,爬虫類/両生類用品
P13_C2,かご/おり
P13_C2,鳥用品
P13_C2,虫類用品
P13_C2,その他
P13_C3,菓子
P13_C3,米
P13_C3,野菜
P13_C3,果物
P13_C3,調味料
P13_C3,魚介類(加工食品)
P13_C3,肉類(加工食品)
P13_C3,その他 加工食品
P13_C3,その他
P13_C4,コーヒー
P13_C4,ソフトドリンク
P13_C4,ミネラルウォーター
P13_C4,茶
P13_C4,ウイスキー
P13_C4,ワイン
P13_C4,ブランデー
P13_C4,焼酎
P13_C4,日本酒
P13_C4,ビール、発泡酒
P13_C4,その他
P13_C5,タオル/バス用品
P13_C5,日用品/生活雑貨
P13_C5,洗剤/柔軟剤
P13_C5,旅行用品
P13_C5,防災関連グッズ
P13_C5,その他
P13_C6,雑貨
P13_C6,工芸品
P13_C6,家具
P13_C6,印刷物
P13_C6,その他
P13_C7,筆記具
P13_C7,ノート/メモ帳
P13_C7,テープ/マスキングテープ
P13_C7,カレンダー/スケジュール
P13_C7,アルバム/スクラップ
P13_C7,ファイル/バインダー
P13_C7,はさみ/カッター
P13_C7,カードホルダー/名刺管理
P13_C7,のり/ホッチキス
P13_C7,その他
P13_C8,オフィス用品一般
P13_C8,オフィス家具
P13_C8,店舗用品
P13_C8,OA機器
P13_C8,ラッピング/包装
P13_C8,その他
