id,name
P7_C1,ファンデーション
P7_C1,化粧下地
P7_C1,コントロールカラー
P7_C1,BBクリーム
P7_C1,CCクリーム
P7_C1,コンシーラー
P7_C1,フェイスパウダー
P7_C1,トライアルセット/サンプル
P7_C1,その他
P7_C2,アイシャドウ
P7_C2,口紅
P7_C2,リップグロス
P7_C2,リップライナー
P7_C2,チーク
P7_C2,フェイスカラー
P7_C2,マスカラ
P7_C2,アイライナー
P7_C2,つけまつげ
P7_C2,アイブロウペンシル
P7_C2,パウダーアイブロウ
P7_C2,眉マスカラ
P7_C2,トライアルセット/サンプル
P7_C2,メイク道具/化粧小物
P7_C2,美顔用品/美顔ローラー
P7_C2,その他
P7_C3,ネイルカラー
P7_C3,カラージェル
P7_C3,ネイルベースコート/トップコート
P7_C3,ネイルアート用品
P7_C3,ネイルパーツ
P7_C3,ネイルチップ/付け爪
P7_C3,手入れ用具
P7_C3,除光液
P7_C3,その他
P7_C4,香水(女性用)
P7_C4,香水(男性用)
P7_C4,ユニセックス
P7_C4,ボディミスト
P7_C4,その他
P7_C5,化粧水/ローション
P7_C5,乳液/ミルク
P7_C5,美容液
P7_C5,フェイスクリーム
P7_C5,洗顔料
P7_C5,クレンジング/メイク落とし
P7_C5,パック/フェイスマスク
P7_C5,ジェル/ゲル
P7_C5,ブースター/導入液
P7_C5,アイケア
P7_C5,リップケア
P7_C5,トライアルセット/サンプル
P7_C5,洗顔グッズ
P7_C5,その他
P7_C6,シャンプー
P7_C6,トリートメント
P7_C6,コンディショナー
P7_C6,リンス
P7_C6,スタイリング剤
P7_C6,カラーリング剤
P7_C6,ブラシ
P7_C6,その他
P7_C7,オイル/クリーム
P7_C7,ハンドクリーム
P7_C7,ローション
P7_C7,日焼け止め/サンオイル
P7_C7,ボディソープ
P7_C7,入浴剤
P7_C7,制汗/デオドラント
P7_C7,フットケア
P7_C7,その他
P7_C8,口臭防止/エチケット用品
P7_C8,歯ブラシ
P7_C8,その他
P7_C9,エッセンシャルオイル
P7_C9,芳香器
P7_C9,お香/香炉
P7_C9,キャンドル
P7_C9,リラクゼーショングッズ
P7_C9,その他
P7_C10,ダイエット食品
P7_C10,エクササイズ用品
P7_C10,体重計
P7_C10,体脂肪計
P7_C10,その他
P7_C11,健康用品
P7_C11,看護/介護用品
P7_C11,救急/衛生用品
P7_C11,その他
