id,name
P4_C1,食器
P4_C1,調理器具
P4_C1,収納/キッチン雑貨
P4_C1,弁当用品
P4_C1,カトラリー(スプーン等)
P4_C1,テーブル用品
P4_C1,容器
P4_C1,エプロン
P4_C1,アルコールグッズ
P4_C1,浄水機
P4_C1,その他
P4_C2,セミシングルベッド
P4_C2,シングルベッド
P4_C2,セミダブルベッド
P4_C2,ダブルベッド
P4_C2,ワイドダブルベッド
P4_C2,クイーンベッド
P4_C2,キングベッド
P4_C2,脚付きマットレスベッド
P4_C2,マットレス
P4_C2,すのこベッド
P4_C2,ロフトベッド/システムベッド
P4_C2,簡易ベッド/折りたたみベッド
P4_C2,収納付き
P4_C2,その他
P4_C3,ソファセット
P4_C3,シングルソファ
P4_C3,ラブソファ
P4_C3,トリプルソファ
P4_C3,オットマン
P4_C3,コーナーソファ
P4_C3,ビーズソファ/クッションソファ
P4_C3,ローソファ/フロアソファ
P4_C3,ソファベッド
P4_C3,応接セット
P4_C3,ソファカバー
P4_C3,リクライニングソファ
P4_C3,その他
P4_C4,一般
P4_C4,スツール
P4_C4,ダイニングチェア
P4_C4,ハイバックチェア
P4_C4,ロッキングチェア
P4_C4,座椅子
P4_C4,折り畳みイス
P4_C4,デスクチェア
P4_C4,その他
P4_C5,こたつ
P4_C5,カウンターテーブル
P4_C5,サイドテーブル
P4_C5,センターテーブル
P4_C5,ダイニングテーブル
P4_C5,座卓/ちゃぶ台
P4_C5,アウトドア用
P4_C5,パソコン用
P4_C5,事務机/学習机
P4_C5,その他
P4_C6,リビング収納
P4_C6,キッチン収納
P4_C6,玄関/屋外収納
P4_C6,バス/トイレ収納
P4_C6,本収納
P4_C6,本/CD/DVD収納
P4_C6,洋服タンス/押入れ収納
P4_C6,電話台/ファックス台
P4_C6,ドレッサー/鏡台
P4_C6,棚/ラック
P4_C6,ケース/ボックス
P4_C6,その他
P4_C7,ラグ
P4_C7,カーペット
P4_C7,ホットカーペット
P4_C7,玄関/キッチンマット
P4_C7,トイレ/バスマット
P4_C7,その他
P4_C8,カーテン
P4_C8,ブラインド
P4_C8,ロールスクリーン
P4_C8,のれん
P4_C8,その他
P4_C9,蛍光灯/電球
P4_C9,天井照明
P4_C9,フロアスタンド
P4_C9,その他
P4_C10,布団/毛布
P4_C10,枕
P4_C10,シーツ/カバー
P4_C10,その他
P4_C11,ごみ箱
P4_C11,ウェルカムボード
P4_C11,オルゴール
P4_C11,クッション
P4_C11,クッションカバー
P4_C11,スリッパラック
P4_C11,ティッシュボックス
P4_C11,バスケット/かご
P4_C11,フォトフレーム
P4_C11,マガジンラック
P4_C11,モビール
P4_C11,花瓶
P4_C11,灰皿
P4_C11,傘立て
P4_C11,小物入れ
P4_C11,置時計
P4_C11,掛時計/柱時計
P4_C11,鏡(立て掛け式)
P4_C11,鏡(壁掛け式)
P4_C11,置物
P4_C11,風鈴
P4_C11,植物/観葉植物
P4_C11,その他
P4_C12,正月
P4_C12,成人式
P4_C12,バレンタインデー
P4_C12,ひな祭り
P4_C12,子どもの日
P4_C12,母の日
P4_C12,父の日
P4_C12,サマーギフト/お中元
P4_C12,夏/夏休み
P4_C12,ハロウィン
P4_C12,敬老の日
P4_C12,七五三
P4_C12,お歳暮
P4_C12,クリスマス
P4_C12,冬一般
P4_C12,その他
