id,name
P8_C1,スマートフォン本体
P8_C1,バッテリー/充電器
P8_C1,携帯電話本体
P8_C1,PHS本体
P8_C1,その他
P8_C2,Android用ケース
P8_C2,iPhone用ケース
P8_C2,カバー
P8_C2,イヤホンジャック
P8_C2,ストラップ
P8_C2,フィルム
P8_C2,自撮り棒
P8_C2,その他
P8_C3,タブレット
P8_C3,ノートPC
P8_C3,デスクトップ型PC
P8_C3,ディスプレイ
P8_C3,電子ブックリーダー
P8_C3,PC周辺機器
P8_C3,PCパーツ
P8_C3,その他
P8_C4,デジタルカメラ
P8_C4,ビデオカメラ
P8_C4,レンズ(単焦点)
P8_C4,レンズ(ズーム)
P8_C4,フィルムカメラ
P8_C4,防犯カメラ
P8_C4,その他
P8_C5,テレビ
P8_C5,プロジェクター
P8_C5,ブルーレイレコーダー
P8_C5,DVDレコーダー
P8_C5,ブルーレイプレーヤー
P8_C5,DVDプレーヤー
P8_C5,映像用ケーブル
P8_C5,その他
P8_C6,ポータブルプレーヤー
P8_C6,イヤフォン
P8_C6,ヘッドフォン
P8_C6,アンプ
P8_C6,スピーカー
P8_C6,ケーブル/シールド
P8_C6,ラジオ
P8_C6,その他
P8_C7,ヘアドライヤー
P8_C7,ヘアアイロン
P8_C7,美容機器
P8_C7,電気シェーバー
P8_C7,電動歯ブラシ
P8_C7,その他
P8_C8,エアコン
P8_C8,空気清浄器
P8_C8,加湿器
P8_C8,扇風機
P8_C8,除湿機
P8_C8,ファンヒーター
P8_C8,電気ヒーター
P8_C8,オイルヒーター
P8_C8,ストーブ
P8_C8,ホットカーペット
P8_C8,こたつ
P8_C8,電気毛布
P8_C8,その他
P8_C9,冷蔵庫
P8_C9,洗濯機
P8_C9,炊飯器
P8_C9,電子レンジ/オーブン
P8_C9,調理機器
P8_C9,アイロン
P8_C9,掃除機
P8_C9,エスプレッソマシン
P8_C9,コーヒーメーカー
P8_C9,衣類乾燥機
P8_C9,その他
P8_C10,その他
